# CommonWordsMultiIndex words, generated from token-stats-v12 testAllStats, do not edit by hand
# word <group> <class: 1 service, 2 frequent, 0 frequency only> <names per million> <word>
# class 1: share >= 0.50%; class 2: share >= 0.05%; names = index atoms x 0.398; search category names are class 0
word	fr	2	1151	caisse
word	fr	2	1148	trois
word	fr	2	1135	victor
word	fr	0	1134	four
word	fr	2	1128	porte
word	fr	2	1114	leclerc
word	fr	2	1111	dall
word	fr	2	1100	autoroute
word	fr	2	1097	pointe
word	fr	2	1095	ancien
word	fr	2	1094	santé
word	fr	2	1093	elementaire
word	fr	2	1091	al
word	fr	2	1086	belle
word	fr	2	1076	marais
word	fr	2	1068	élémentaire
word	fr	2	1063	neuf
word	fr	2	1056	ru
word	fr	2	1047	cours
word	fr	2	1047	d'or
word	fr	0	1044	garage
word	fr	0	1032	source
word	fr	2	1031	marcel
word	fr	2	1027	cabinet
word	fr	2	1027	plaine
word	fr	2	1023	blanche
word	fr	2	1005	scolaire
word	fr	0	1000	boulangerie
word	fr	2	997	lgv
word	fr	2	993	marseille
word	fr	2	980	fosse
word	fr	2	969	bel
word	fr	2	965	gymnase
word	fr	2	964	neuve
word	fr	2	963	chene
word	fr	2	959	albert
word	fr	2	959	grange
word	fr	2	957	air
word	fr	0	953	park
word	fr	2	948	nicolas
word	fr	2	946	groupe
word	fr	2	937	ii
word	fr	0	937	banque
word	fr	2	935	écluse
word	fr	2	930	gendarmerie
word	fr	2	925	anne
word	fr	2	923	chêne
word	fr	2	918	mutuel
word	fr	2	914	alez
word	fr	2	913	montée
word	fr	2	912	di
word	fr	2	909	bellevue
word	fr	2	907	montee
word	fr	2	894	institut
word	fr	0	893	service
word	fr	2	892	montagne
word	fr	2	887	bras
word	fr	2	879	grandes
word	fr	2	879	mare
word	fr	2	875	d'en
word	fr	0	865	clinique
word	fr	2	864	soleil
word	fr	2	841	ti
word	fr	2	838	plan
word	fr	2	825	i
word	fr	2	819	petits
word	fr	0	817	pas
word	fr	2	817	hauts
word	fr	0	812	ile
word	fr	2	808	piste
word	fr	2	806	secours
word	fr	2	796	île
word	fr	2	791	terres
word	fr	2	786	deux
word	fr	2	783	fort
word	fr	2	782	bourgogne
word	fr	2	782	naturelle
word	fr	2	779	vélo
word	fr	2	764	rocher
word	fr	2	754	site
word	fr	2	754	del
word	fr	2	754	u
word	fr	2	753	ravin
word	fr	2	749	street
word	fr	2	746	velo
word	fr	2	736	centrale
word	fr	2	732	reserve
word	fr	2	732	relais
word	fr	2	719	municipale
word	fr	2	718	moulins
word	fr	2	705	complexe
word	fr	2	705	calvaire
word	fr	2	705	c
word	fr	2	705	réserve
word	fr	2	703	national
word	fr	2	701	b
word	fr	2	701	nouvelle
word	fr	2	698	vincent
word	fr	2	697	terre
word	fr	2	695	atelier
word	fr	2	693	rhone
word	fr	2	690	total
word	fr	2	688	rang
word	fr	0	686	pizza
word	fr	2	683	ancienne
word	fr	2	679	laurent
word	fr	2	678	sportif
word	fr	0	677	plage
word	fr	2	677	mer
word	fr	2	674	agence
word	fr	2	672	république
word	fr	2	670	brest
word	fr	2	669	traverse
word	fr	2	663	camp
word	fr	2	657	rhône
word	fr	2	648	republique
word	fr	0	647	piscine
word	fr	2	641	fond
word	fr	2	640	salon
word	fr	2	639	villa
word	fr	2	630	the
word	fr	2	630	express
word	fr	2	630	garenne
word	fr	2	626	tilleuls
word	fr	2	625	mai
word	fr	2	622	motte
word	fr	2	618	boutique
word	fr	2	616	immobilier
word	fr	2	614	intermarché
word	fr	2	601	las
word	fr	2	595	boucle
word	fr	2	592	derriere
word	fr	2	591	municipal
word	fr	2	589	germain
word	fr	2	589	of
word	fr	2	588	vallon
word	fr	2	584	central
word	fr	2	583	bief
word	fr	2	583	couture
word	fr	2	580	alpes
word	fr	0	577	lande
word	fr	2	573	services
word	fr	2	568	auberge
word	fr	2	565	boucherie
word	fr	2	560	dau
word	fr	0	559	tennis
word	fr	0	556	pays
word	fr	0	556	cap
word	fr	2	555	ehpad
word	fr	2	548	intermarche
word	fr	2	546	petites
word	fr	0	545	shop
word	fr	2	543	marechal
word	fr	2	541	serre
word	fr	2	541	d'incendie
word	fr	0	540	river
word	fr	2	540	antoine
word	fr	2	540	emile
word	fr	2	539	maréchal
word	fr	2	538	rené
word	fr	0	538	font
word	fr	0	538	office
word	fr	2	537	derrière
word	fr	2	533	seine
word	fr	2	530	principale
word	fr	2	530	sports
word	fr	2	528	piece
word	fr	0	524	gue
word	fr	2	520	bibliothèque
word	fr	2	520	claude
word	fr	2	518	musée
word	fr	2	515	loup
word	fr	2	513	da
word	fr	2	510	émile
word	fr	2	509	entre
word	fr	2	507	am
word	fr	2	504	torrent
word	fr	2	502	grotte
word	fr	0	502	police
word	fr	0	500	d'épargne
word	fr	0	498	super
word	fr	0	497	acacias
word	fr	0	496	bibliotheque
word	fr	0	496	denis
word	fr	0	495	prairie
word	fr	0	490	der
word	fr	0	490	privée
word	fr	0	489	medical
word	fr	0	487	privee
word	fr	0	485	d'epargne
word	fr	0	484	robert
word	fr	0	484	rene
word	fr	0	483	lilas
word	fr	0	483	hopital
word	fr	0	483	puy
word	fr	0	480	chênes
word	fr	0	479	bali
word	fr	0	479	chenes
word	fr	0	478	pièce
word	fr	0	476	ecoles
word	fr	0	475	fêtes
word	fr	0	475	morts
word	fr	0	474	rose
word	fr	0	474	golf
word	fr	0	471	fetes
word	fr	0	470	landes
word	fr	0	468	routière
word	fr	0	466	market
word	fr	0	466	eurovelo
word	fr	0	465	city
word	fr	0	465	écoles
word	fr	0	463	julien
word	fr	0	461	nantes
word	fr	0	461	chaussee
word	fr	0	459	hôpital
word	fr	0	458	strasbourg
word	fr	0	458	routiere
word	fr	0	454	road
word	fr	0	450	thomas
word	fr	0	444	l'atelier
word	fr	0	443	royal
word	fr	0	442	rhin
word	fr	0	442	tunnel
word	fr	0	440	e
word	fr	0	436	sente
word	fr	0	436	vente
word	fr	0	436	baie
word	fr	0	435	l'ecole
word	fr	0	433	temple
word	fr	0	433	pasteur
word	fr	0	429	musee
word	fr	0	425	canada
word	fr	0	423	populaire
word	fr	0	423	palais
word	fr	0	420	tabac
word	fr	0	420	vieille
word	fr	0	419	société
word	fr	0	419	marne
word	fr	0	417	l'école
word	fr	0	417	ty
word	fr	0	416	carriera
word	fr	0	415	generale
word	fr	0	414	kanol
word	fr	0	411	commercial
word	fr	0	410	sport
word	fr	0	409	devant
word	fr	0	408	générale
word	fr	0	405	mosquee
