id,left,top,right,bottom,dummy,tile_id
6182,-143.000416,60.000416,-141.999584,58.999584,dummy,N59W143
6352,-142.000416,61.000416,-140.999584,59.999584,dummy,N60W142
6353,-142.000416,60.000416,-140.999584,58.999584,dummy,N59W142
6524,-141.000416,60.000416,-139.999584,58.999584,dummy,N59W141
6695,-140.000416,60.000416,-138.999584,58.999584,dummy,N59W140
6866,-139.000416,60.000416,-137.999584,58.999584,dummy,N59W139
6867,-139.000416,59.000416,-137.999584,57.999584,dummy,N58W139
7037,-138.000416,60.000416,-136.999584,58.999584,dummy,N59W138
7038,-138.000416,59.000416,-136.999584,57.999584,dummy,N58W138
7208,-137.000416,60.000416,-135.999584,58.999584,dummy,N59W137
7209,-137.000416,59.000416,-135.999584,57.999584,dummy,N58W137
7210,-137.000416,58.000416,-135.999584,56.999584,dummy,N57W137
7379,-136.000416,60.000416,-134.999584,58.999584,dummy,N59W136
7380,-136.000416,59.000416,-134.999584,57.999584,dummy,N58W136
7381,-136.000416,58.000416,-134.999584,56.999584,dummy,N57W136
7382,-136.000416,57.000416,-134.999584,55.999584,dummy,N56W136
7551,-135.000416,59.000416,-133.999584,57.999584,dummy,N58W135
7552,-135.000416,58.000416,-133.999584,56.999584,dummy,N57W135
7553,-135.000416,57.000416,-133.999584,55.999584,dummy,N56W135
7554,-135.000416,56.000416,-133.999584,54.999584,dummy,N55W135
7722,-134.000416,59.000416,-132.999584,57.999584,dummy,N58W134
7723,-134.000416,58.000416,-132.999584,56.999584,dummy,N57W134
7724,-134.000416,57.000416,-132.999584,55.999584,dummy,N56W134
7725,-134.000416,56.000416,-132.999584,54.999584,dummy,N55W134
7726,-134.000416,55.000416,-132.999584,53.999584,dummy,N54W134
7727,-134.000416,54.000416,-132.999584,52.999584,dummy,N53W134
7894,-133.000416,58.000416,-131.999584,56.999584,dummy,N57W133
7895,-133.000416,57.000416,-131.999584,55.999584,dummy,N56W133
7896,-133.000416,56.000416,-131.999584,54.999584,dummy,N55W133
7897,-133.000416,55.000416,-131.999584,53.999584,dummy,N54W133
7898,-133.000416,54.000416,-131.999584,52.999584,dummy,N53W133
7899,-133.000416,53.000416,-131.999584,51.999584,dummy,N52W133
8066,-132.000416,57.000416,-130.999584,55.999584,dummy,N56W132
8067,-132.000416,56.000416,-130.999584,54.999584,dummy,N55W132
8068,-132.000416,55.000416,-130.999584,53.999584,dummy,N54W132
8069,-132.000416,54.000416,-130.999584,52.999584,dummy,N53W132
8070,-132.000416,53.000416,-130.999584,51.999584,dummy,N52W132
8071,-132.000416,52.000416,-130.999584,50.999584,dummy,N51W132
8237,-131.000416,57.000416,-129.999584,55.999584,dummy,N56W131
8238,-131.000416,56.000416,-129.999584,54.999584,dummy,N55W131
8239,-131.000416,55.000416,-129.999584,53.999584,dummy,N54W131
8240,-131.000416,54.000416,-129.999584,52.999584,dummy,N53W131
8241,-131.000416,53.000416,-129.999584,51.999584,dummy,N52W131
8242,-131.000416,52.000416,-129.999584,50.999584,dummy,N51W131
8409,-130.000416,56.000416,-128.999584,54.999584,dummy,N55W130
8410,-130.000416,55.000416,-128.999584,53.999584,dummy,N54W130
8411,-130.000416,54.000416,-128.999584,52.999584,dummy,N53W130
8412,-130.000416,53.000416,-128.999584,51.999584,dummy,N52W130
8414,-130.000416,51.000416,-128.999584,49.999584,dummy,N50W130
8582,-129.000416,54.000416,-127.999584,52.999584,dummy,N53W129
8583,-129.000416,53.000416,-127.999584,51.999584,dummy,N52W129
8584,-129.000416,52.000416,-127.999584,50.999584,dummy,N51W129
8585,-129.000416,51.000416,-127.999584,49.999584,dummy,N50W129
8754,-128.000416,53.000416,-126.999584,51.999584,dummy,N52W128
8755,-128.000416,52.000416,-126.999584,50.999584,dummy,N51W128
8756,-128.000416,51.000416,-126.999584,49.999584,dummy,N50W128
8757,-128.000416,50.000416,-126.999584,48.999584,dummy,N49W128
8925,-127.000416,53.000416,-125.999584,51.999584,dummy,N52W127
8926,-127.000416,52.000416,-125.999584,50.999584,dummy,N51W127
8927,-127.000416,51.000416,-125.999584,49.999584,dummy,N50W127
8928,-127.000416,50.000416,-125.999584,48.999584,dummy,N49W127
9097,-126.000416,52.000416,-124.999584,50.999584,dummy,N51W126
9098,-126.000416,51.000416,-124.999584,49.999584,dummy,N50W126
9099,-126.000416,50.000416,-124.999584,48.999584,dummy,N49W126
9100,-126.000416,49.000416,-124.999584,47.999584,dummy,N48W126
9268,-125.000416,52.000416,-123.999584,50.999584,dummy,N51W125
9269,-125.000416,51.000416,-123.999584,49.999584,dummy,N50W125
9270,-125.000416,50.000416,-123.999584,48.999584,dummy,N49W125
9271,-125.000416,49.000416,-123.999584,47.999584,dummy,N48W125
9272,-125.000416,48.000416,-123.999584,46.999584,dummy,N47W125
9273,-125.000416,47.000416,-123.999584,45.999584,dummy,N46W125
9274,-125.000416,46.000416,-123.999584,44.999584,dummy,N45W125
9275,-125.000416,45.000416,-123.999584,43.999584,dummy,N44W125
9276,-125.000416,44.000416,-123.999584,42.999584,dummy,N43W125
9277,-125.000416,43.000416,-123.999584,41.999584,dummy,N42W125
9278,-125.000416,42.000416,-123.999584,40.999584,dummy,N41W125
9279,-125.000416,41.000416,-123.999584,39.999584,dummy,N40W125
9280,-125.000416,40.000416,-123.999584,38.999584,dummy,N39W125
9440,-124.000416,51.000416,-122.999584,49.999584,dummy,N50W124
9441,-124.000416,50.000416,-122.999584,48.999584,dummy,N49W124
9442,-124.000416,49.000416,-122.999584,47.999584,dummy,N48W124
9443,-124.000416,48.000416,-122.999584,46.999584,dummy,N47W124
9444,-124.000416,47.000416,-122.999584,45.999584,dummy,N46W124
9445,-124.000416,46.000416,-122.999584,44.999584,dummy,N45W124
9450,-124.000416,41.000416,-122.999584,39.999584,dummy,N40W124
9451,-124.000416,40.000416,-122.999584,38.999584,dummy,N39W124
9452,-124.000416,39.000416,-122.999584,37.999584,dummy,N38W124
9453,-124.000416,38.000416,-122.999584,36.999584,dummy,N37W124
9612,-123.000416,50.000416,-121.999584,48.999584,dummy,N49W123
9613,-123.000416,49.000416,-121.999584,47.999584,dummy,N48W123
9614,-123.000416,48.000416,-121.999584,46.999584,dummy,N47W123
9623,-123.000416,39.000416,-121.999584,37.999584,dummy,N38W123
9624,-123.000416,38.000416,-121.999584,36.999584,dummy,N37W123
9625,-123.000416,37.000416,-121.999584,35.999584,dummy,N36W123
9783,-122.000416,50.000416,-120.999584,48.999584,dummy,N49W122
9794,-122.000416,39.000416,-120.999584,37.999584,dummy,N38W122
9795,-122.000416,38.000416,-120.999584,36.999584,dummy,N37W122
9796,-122.000416,37.000416,-120.999584,35.999584,dummy,N36W122
9797,-122.000416,36.000416,-120.999584,34.999584,dummy,N35W122
9926,-121.000416,78.000416,-119.999584,76.999584,dummy,N77W121
9968,-121.000416,36.000416,-119.999584,34.999584,dummy,N35W121
9969,-121.000416,35.000416,-119.999584,33.999584,dummy,N34W121
9970,-121.000416,34.000416,-119.999584,32.999584,dummy,N33W121
10140,-120.000416,35.000416,-118.999584,33.999584,dummy,N34W120
10141,-120.000416,34.000416,-118.999584,32.999584,dummy,N33W120
10311,-119.000416,35.000416,-117.999584,33.999584,dummy,N34W119
10312,-119.000416,34.000416,-117.999584,32.999584,dummy,N33W119
10313,-119.000416,33.000416,-117.999584,31.999584,dummy,N32W119
10483,-118.000416,34.000416,-116.999584,32.999584,dummy,N33W118
10484,-118.000416,33.000416,-116.999584,31.999584,dummy,N32W118
10655,-117.000416,33.000416,-115.999584,31.999584,dummy,N32W117
10656,-117.000416,32.000416,-115.999584,30.999584,dummy,N31W117
10657,-117.000416,31.000416,-115.999584,29.999584,dummy,N30W117
10828,-116.000416,31.000416,-114.999584,29.999584,dummy,N30W116
10829,-116.000416,30.000416,-114.999584,28.999584,dummy,N29W116
10831,-116.000416,28.000416,-114.999584,26.999584,dummy,N27W116
10998,-115.000416,32.000416,-113.999584,30.999584,dummy,N31W115
10999,-115.000416,31.000416,-113.999584,29.999584,dummy,N30W115
11000,-115.000416,30.000416,-113.999584,28.999584,dummy,N29W115
11001,-115.000416,29.000416,-113.999584,27.999584,dummy,N28W115
11002,-115.000416,28.000416,-113.999584,26.999584,dummy,N27W115
11003,-115.000416,27.000416,-113.999584,25.999584,dummy,N26W115
11169,-114.000416,32.000416,-112.999584,30.999584,dummy,N31W114
11170,-114.000416,31.000416,-112.999584,29.999584,dummy,N30W114
11171,-114.000416,30.000416,-112.999584,28.999584,dummy,N29W114
11172,-114.000416,29.000416,-112.999584,27.999584,dummy,N28W114
11173,-114.000416,28.000416,-112.999584,26.999584,dummy,N27W114
11174,-114.000416,27.000416,-112.999584,25.999584,dummy,N26W114
11341,-113.000416,31.000416,-111.999584,29.999584,dummy,N30W113
11342,-113.000416,30.000416,-111.999584,28.999584,dummy,N29W113
11343,-113.000416,29.000416,-111.999584,27.999584,dummy,N28W113
11344,-113.000416,28.000416,-111.999584,26.999584,dummy,N27W113
11345,-113.000416,27.000416,-111.999584,25.999584,dummy,N26W113
11346,-113.000416,26.000416,-111.999584,24.999584,dummy,N25W113
11347,-113.000416,25.000416,-111.999584,23.999584,dummy,N24W113
11514,-112.000416,29.000416,-110.999584,27.999584,dummy,N28W112
11515,-112.000416,28.000416,-110.999584,26.999584,dummy,N27W112
11516,-112.000416,27.000416,-110.999584,25.999584,dummy,N26W112
11517,-112.000416,26.000416,-110.999584,24.999584,dummy,N25W112
11518,-112.000416,25.000416,-110.999584,23.999584,dummy,N24W112
11686,-111.000416,28.000416,-109.999584,26.999584,dummy,N27W111
11687,-111.000416,27.000416,-109.999584,25.999584,dummy,N26W111
11688,-111.000416,26.000416,-109.999584,24.999584,dummy,N25W111
11689,-111.000416,25.000416,-109.999584,23.999584,dummy,N24W111
11690,-111.000416,24.000416,-109.999584,22.999584,dummy,N23W111
11691,-111.000416,23.000416,-109.999584,21.999584,dummy,N22W111
11858,-110.000416,27.000416,-108.999584,25.999584,dummy,N26W110
11859,-110.000416,26.000416,-108.999584,24.999584,dummy,N25W110
